세부용도명,용도코드,별표1_대분류,확정여부,등장횟수
아파트,02001,,수작업필요,261
소매점,03001,제1종근린생활시설,학습,129
사무소,03202|04402|14204,제2종근린생활시설,학습,120
일반음식점,04001,제2종근린생활시설,학습,105
단독주택,01001,단독주택,학습,102
부대시설,02005,,수작업필요,94
오피스텔,14202,,수작업필요,90
기타제1종근린생활시설,03999,,수작업필요,68
다세대주택,02003,공동주택,학습,58
다가구주택,01003,,수작업필요,38
기타제2종근린생활시설,04999,제2종근린생활시설,학습,36
다중주택,01002,단독주택,학습,33
기타공공시설,03199,제1종근린생활시설,학습,28
기타판매시설,07999,,수작업필요,28
학원,04010|10003,,수작업필요,26
휴게음식점,03002|04002,,수작업필요,25
기타일반업무시설,14299,업무시설,학습,22
독서실,04014,,수작업필요,21
기타사무소,04499,,수작업필요,17
유흥주점,16002,,수작업필요,14
생활편익시설,02004,공동주택,학습,14
의원,03005,,수작업필요,13
고시원,04035,,수작업필요,11
동사무소,03101,,수작업필요,11
부동산중개업소,04403,,수작업필요,10
연립주택,02002,,수작업필요,9
이(미)용원,03003,,수작업필요,6
인터넷컴퓨터게임시설제공업의시설,04037|07211,,수작업필요,6
시장,07101,판매시설,학습,6
주차장,20001,,수작업필요,5
부동산중개사무소,04406,,수작업필요,5
일반게임제공업의시설,07212,,수작업필요,4
한의원,03015,,수작업필요,4
체육도장,03020,,수작업필요,4
노래연습장,04020,,수작업필요,4
노인복지시설,11201,,수작업필요,3
미용원,03027,,수작업필요,3
여관,15102,,수작업필요,3
청소년게임제공업의시설,04038,,수작업필요,3
제조업소,04005,,수작업필요,3
단란주점,04016,,수작업필요,3
인터넷컴퓨터게임시설제공업소,04025|04044,,수작업필요,3
체력단련장,04102,,수작업필요,3
기타아동관련시설,11199,,수작업필요,3
골프연습장,04107,,수작업필요,3
기타위락시설,16999,,수작업필요,2
교습소,04040,,수작업필요,2
청소년게임제공업소,04026|04045,,수작업필요,2
조산소,03018,,수작업필요,2
연구소,10004,,수작업필요,2
상점(소매점),07201,,수작업필요,2
기타의료시설,09999,,수작업필요,2
기타문화및집회시설,05999,,수작업필요,2
게임제공업소,04007,,수작업필요,2
당구장,04105,,수작업필요,2
수리점,04006,,수작업필요,2
기타근린생활시설,Z3999,,수작업필요,2
마을공동시설,03007,,수작업필요,2
복리시설,02006,,수작업필요,1
대피소,03011,,수작업필요,1
제과점,03029,,수작업필요,1
차고,20009,,수작업필요,1
목욕장,03025,,수작업필요,1
기타창고시설,18999,,수작업필요,1
복합유통게임제공업의시설,07210,,수작업필요,1
기타 운동시설,13999,,수작업필요,1
의약품도매점,04017,,수작업필요,1
창고,18001,,수작업필요,1
세차장,20002,,수작업필요,1
영유아보육시설,11102,,수작업필요,1
주점영업,16007,,수작업필요,1
세탁소,03013,,수작업필요,1
멀티미디어문화컨텐츠설비제공업소,04022,,수작업필요,1
기원,04003,,수작업필요,1
사진관,04008,,수작업필요,1
